,Name,Ticker,Industry,Sector,Market Cap,Strike,Option Price,Exp. Date,Option Volume,Stock Price,Ex. Div Date,Num Divs.,Div/share,Div Inc,Gain/Loss Exercise,Total Income,Return,Annual Return
15,3M Company,MMM,Medical/Dental Instruments,Health Care,61506692623.1,92.5,1.05,1 - 2013,16.0,88.97,8 - 22,1.0,0.0232,0.0232,3.53,1.0732,0.0120624929752,0.072374957851
16,3M Company,MMM,Medical/Dental Instruments,Health Care,61506692623.1,95.0,0.5,1 - 2013,41.0,88.97,8 - 22,1.0,0.0232,0.0232,6.03,0.5232,0.00588063392155,0.0352838035293
4,3M Company,MMM,Medical/Dental Instruments,Health Care,61506692623.1,85.0,6.3,4 - 2013,6.0,88.97,8 - 22,2.0,0.0232,0.0464,-3.97,2.3764,0.0267101270091,0.0641043048219
5,3M Company,MMM,Medical/Dental Instruments,Health Care,61506692623.1,87.5,4.95,4 - 2013,353.0,88.97,8 - 22,2.0,0.0232,0.0464,-1.47,3.5264,0.039635832303,0.0951259975273
6,3M Company,MMM,Medical/Dental Instruments,Health Care,61506692623.1,90.0,3.7,4 - 2013,2.0,88.97,8 - 22,2.0,0.0232,0.0464,1.03,3.7464,0.0421085759245,0.101060582219
7,3M Company,MMM,Medical/Dental Instruments,Health Care,61506692623.1,92.5,2.4,4 - 2013,28.0,88.97,8 - 22,2.0,0.0232,0.0464,3.53,2.4464,0.0274969090705,0.0659925817691
8,3M Company,MMM,Medical/Dental Instruments,Health Care,61506692623.1,95.0,1.56,4 - 2013,96.0,88.97,8 - 22,2.0,0.0232,0.0464,6.03,1.6064,0.018055524334,0.0433332584017
0,7 Days Group Holdings Limited,SVN,Hotels/Resorts,Consumer Services,598728185.78,10.0,1.55,2 - 2013,0.0,11.98,None,None,None,None,-1.98,-0.43,-0.0358931552588,-0.143572621035
1,7 Days Group Holdings Limited,SVN,Hotels/Resorts,Consumer Services,598728185.78,12.5,0.5,2 - 2013,10.0,11.98,None,None,None,None,0.52,0.5,0.0417362270451,0.16694490818
2,7 Days Group Holdings Limited,SVN,Hotels/Resorts,Consumer Services,598728185.78,15.0,0.15,2 - 2013,10.0,11.98,None,None,None,None,3.02,0.15,0.0125208681135,0.0500834724541
0,7 Days Group Holdings Limited,SVN,Hotels/Resorts,Consumer Services,598728185.78,10.0,1.85,5 - 2013,10.0,11.98,None,None,None,None,-1.98,-0.13,-0.0108514190317,-0.0217028380634
1,7 Days Group Holdings Limited,SVN,Hotels/Resorts,Consumer Services,598728185.78,12.5,0.4,5 - 2013,10.0,11.98,None,None,None,None,0.52,0.4,0.0333889816361,0.0667779632721
0,AAR Corp.,AIR,Aerospace,Capital Goods,590715957.33,12.5,4.1,2 - 2013,0.0,14.79,10 - 18,1.0,0.003,0.003,-2.29,1.813,0.122582826234,0.490331304936
1,AAR Corp.,AIR,Aerospace,Capital Goods,590715957.33,15.0,2.9,2 - 2013,0.0,14.79,10 - 18,1.0,0.003,0.003,0.21,2.903,0.196281271129,0.785125084517
2,AAR Corp.,AIR,Aerospace,Capital Goods,590715957.33,17.5,0.77,2 - 2013,5.0,14.79,10 - 18,1.0,0.003,0.003,2.71,0.773,0.0522650439486,0.209060175794
3,AAR Corp.,AIR,Aerospace,Capital Goods,590715957.33,20.0,0.7,2 - 2013,0.0,14.79,10 - 18,1.0,0.003,0.003,5.21,0.703,0.0475321162948,0.190128465179
0,"Aaron&#39;s,  Inc.",AAN,Diversified Commercial Services,Technology,2380985547.84,25.0,5.9,2 - 2013,0.0,31.41,11 - 29,1.0,0.00049,0.00049,-6.41,-0.50951,-0.0162212671124,-0.0648850684495
1,"Aaron&#39;s,  Inc.",AAN,Diversified Commercial Services,Technology,2380985547.84,30.0,0.75,2 - 2013,11.0,31.41,11 - 29,1.0,0.00049,0.00049,-1.41,-0.65951,-0.0209968163005,-0.0839872652022
2,"Aaron&#39;s,  Inc.",AAN,Diversified Commercial Services,Technology,2380985547.84,35.0,0.85,2 - 2013,0.0,31.41,11 - 29,1.0,0.00049,0.00049,3.59,0.85049,0.0270770455269,0.108308182108
4,ABB Ltd,ABB,Electrical Products,Consumer Durables,41693703321.8,17.0,3.1,3 - 2013,6.0,18.18,5 - 1,2.0,0.00708,0.01416,-1.18,1.93416,0.106389438944,0.319168316832
5,ABB Ltd,ABB,Electrical Products,Consumer Durables,41693703321.8,18.0,1.34,3 - 2013,2.0,18.18,5 - 1,2.0,0.00708,0.01416,-0.18,1.17416,0.0645852585259,0.193755775578
6,ABB Ltd,ABB,Electrical Products,Consumer Durables,41693703321.8,19.0,0.85,3 - 2013,5.0,18.18,5 - 1,2.0,0.00708,0.01416,0.82,0.86416,0.0475335533553,0.142600660066
7,ABB Ltd,ABB,Electrical Products,Consumer Durables,41693703321.8,20.0,0.5,3 - 2013,10.0,18.18,5 - 1,2.0,0.00708,0.01416,1.82,0.51416,0.0282816281628,0.0848448844884
8,ABB Ltd,ABB,Electrical Products,Consumer Durables,41693703321.8,21.0,0.25,3 - 2013,3.0,18.18,5 - 1,2.0,0.00708,0.01416,2.82,0.26416,0.0145302530253,0.0435907590759
8,Abbott Laboratories,ABT,Major Pharmaceuticals,Consumer Durables,101943919036.0,60.0,5.95,1 - 2013,1.0,64.96,7 - 11,2.0,0.015,0.03,-4.96,1.02,0.0157019704433,0.0942118226601
9,Abbott Laboratories,ABT,Major Pharmaceuticals,Consumer Durables,101943919036.0,62.5,3.85,1 - 2013,4.0,64.96,7 - 11,2.0,0.015,0.03,-2.46,1.42,0.0218596059113,0.131157635468
10,Abbott Laboratories,ABT,Major Pharmaceuticals,Consumer Durables,101943919036.0,65.0,1.85,1 - 2013,86.0,64.96,7 - 11,2.0,0.015,0.03,0.04,1.88,0.0289408866995,0.173645320197
11,Abbott Laboratories,ABT,Major Pharmaceuticals,Consumer Durables,101943919036.0,67.5,0.86,1 - 2013,20.0,64.96,7 - 11,2.0,0.015,0.03,2.54,0.89,0.0137007389163,0.0822044334975
12,Abbott Laboratories,ABT,Major Pharmaceuticals,Consumer Durables,101943919036.0,70.0,0.34,1 - 2013,187.0,64.96,7 - 11,2.0,0.015,0.03,5.04,0.37,0.00569581280788,0.0341748768473
4,Abbott Laboratories,ABT,Major Pharmaceuticals,Consumer Durables,101943919036.0,60.0,6.25,2 - 2013,2.0,64.96,7 - 11,2.0,0.015,0.03,-4.96,1.32,0.0203201970443,0.0812807881773
5,Abbott Laboratories,ABT,Major Pharmaceuticals,Consumer Durables,101943919036.0,62.5,3.75,2 - 2013,32.0,64.96,7 - 11,2.0,0.015,0.03,-2.46,1.32,0.0203201970443,0.0812807881773
6,Abbott Laboratories,ABT,Major Pharmaceuticals,Consumer Durables,101943919036.0,65.0,2.17,2 - 2013,220.0,64.96,7 - 11,2.0,0.015,0.03,0.04,2.2,0.0338669950739,0.135467980296
7,Abbott Laboratories,ABT,Major Pharmaceuticals,Consumer Durables,101943919036.0,67.5,1.11,2 - 2013,97.0,64.96,7 - 11,2.0,0.015,0.03,2.54,1.14,0.0175492610837,0.070197044335
8,Abbott Laboratories,ABT,Major Pharmaceuticals,Consumer Durables,101943919036.0,70.0,0.5,2 - 2013,82.0,64.96,7 - 11,2.0,0.015,0.03,5.04,0.53,0.00815886699507,0.0326354679803
2,Abbott Laboratories,ABT,Major Pharmaceuticals,Consumer Durables,101943919036.0,60.0,6.3,5 - 2013,1.0,64.96,7 - 11,2.0,0.015,0.03,-4.96,1.37,0.0210899014778,0.0421798029557
3,Abbott Laboratories,ABT,Major Pharmaceuticals,Consumer Durables,101943919036.0,62.5,5.2,5 - 2013,8.0,64.96,7 - 11,2.0,0.015,0.03,-2.46,2.77,0.0426416256158,0.0852832512315
4,Abbott Laboratories,ABT,Major Pharmaceuticals,Consumer Durables,101943919036.0,65.0,2.86,5 - 2013,20.0,64.96,7 - 11,2.0,0.015,0.03,0.04,2.89,0.0444889162562,0.0889778325123
5,Abbott Laboratories,ABT,Major Pharmaceuticals,Consumer Durables,101943919036.0,67.5,1.89,5 - 2013,44.0,64.96,7 - 11,2.0,0.015,0.03,2.54,1.92,0.0295566502463,0.0591133004926
6,Abbott Laboratories,ABT,Major Pharmaceuticals,Consumer Durables,101943919036.0,70.0,1.0,5 - 2013,11.0,64.96,7 - 11,2.0,0.015,0.03,5.04,1.03,0.01585591133,0.0317118226601
9,Abercrombie & Fitch Company,ANF,Clothing/Shoe/Accessory Stores,Consumer Services,2706735236.7,31.0,3.75,1 - 2013,14.0,32.78,8 - 23,1.0,0.007,0.007,-1.78,1.977,0.0603111653447,0.361866992068
10,Abercrombie & Fitch Company,ANF,Clothing/Shoe/Accessory Stores,Consumer Services,2706735236.7,32.0,3.33,1 - 2013,1.0,32.78,8 - 23,1.0,0.007,0.007,-0.78,2.557,0.078004881025,0.46802928615
11,Abercrombie & Fitch Company,ANF,Clothing/Shoe/Accessory Stores,Consumer Services,2706735236.7,33.0,2.79,1 - 2013,14.0,32.78,8 - 23,1.0,0.007,0.007,0.22,2.797,0.0853264185479,0.511958511287
12,Abercrombie & Fitch Company,ANF,Clothing/Shoe/Accessory Stores,Consumer Services,2706735236.7,34.0,2.35,1 - 2013,11.0,32.78,8 - 23,1.0,0.007,0.007,1.22,2.357,0.0719035997559,0.431421598536
13,Abercrombie & Fitch Company,ANF,Clothing/Shoe/Accessory Stores,Consumer Services,2706735236.7,35.0,1.85,1 - 2013,13.0,32.78,8 - 23,1.0,0.007,0.007,2.22,1.857,0.0566503965833,0.3399023795
7,Abercrombie & Fitch Company,ANF,Clothing/Shoe/Accessory Stores,Consumer Services,2706735236.7,31.0,4.2,2 - 2013,2.0,32.78,8 - 23,2.0,0.007,0.014,-1.78,2.434,0.0742525930445,0.297010372178
8,Abercrombie & Fitch Company,ANF,Clothing/Shoe/Accessory Stores,Consumer Services,2706735236.7,32.0,3.88,2 - 2013,10.0,32.78,8 - 23,2.0,0.007,0.014,-0.78,3.114,0.0949969493594,0.379987797437
9,Abercrombie & Fitch Company,ANF,Clothing/Shoe/Accessory Stores,Consumer Services,2706735236.7,33.0,3.25,2 - 2013,1.0,32.78,8 - 23,2.0,0.007,0.014,0.22,3.264,0.0995729103112,0.398291641245
10,Abercrombie & Fitch Company,ANF,Clothing/Shoe/Accessory Stores,Consumer Services,2706735236.7,34.0,2.81,2 - 2013,1.0,32.78,8 - 23,2.0,0.007,0.014,1.22,2.824,0.0861500915192,0.344600366077
11,Abercrombie & Fitch Company,ANF,Clothing/Shoe/Accessory Stores,Consumer Services,2706735236.7,35.0,2.41,2 - 2013,1.0,32.78,8 - 23,2.0,0.007,0.014,2.22,2.424,0.0739475289811,0.295790115924
3,Abercrombie & Fitch Company,ANF,Clothing/Shoe/Accessory Stores,Consumer Services,2706735236.7,31.0,6.15,5 - 2013,10,32.78,8 - 23,2.0,0.007,0.014,-1.78,4.384,0.133740085418,0.267480170836
4,Abercrombie & Fitch Company,ANF,Clothing/Shoe/Accessory Stores,Consumer Services,2706735236.7,32.0,4.85,5 - 2013,10,32.78,8 - 23,2.0,0.007,0.014,-0.78,4.084,0.124588163514,0.249176327029
5,Abercrombie & Fitch Company,ANF,Clothing/Shoe/Accessory Stores,Consumer Services,2706735236.7,33.0,4.05,5 - 2013,6,32.78,8 - 23,2.0,0.007,0.014,0.22,4.064,0.123978035387,0.247956070775
6,Abercrombie & Fitch Company,ANF,Clothing/Shoe/Accessory Stores,Consumer Services,2706735236.7,34.0,4.45,5 - 2013,20,32.78,8 - 23,2.0,0.007,0.014,1.22,4.464,0.136180597926,0.272361195851
7,Abercrombie & Fitch Company,ANF,Clothing/Shoe/Accessory Stores,Consumer Services,2706735236.7,35.0,3.2,5 - 2013,1,32.78,8 - 23,2.0,0.007,0.014,2.22,3.214,0.0980475899939,0.196095179988
0,ABM Industries Incorporated,ABM,Diversified Commercial Services,Finance,1068846770.34,20.0,1.0,1 - 2013,0.0,19.71,7 - 2,2.0,0.00435,0.0087,0.29,1.0087,0.0511770674784,0.307062404871
0,ABM Industries Incorporated,ABM,Diversified Commercial Services,Finance,1068846770.34,20.0,0.43,4 - 2013,2.0,19.71,7 - 2,2.0,0.00435,0.0087,0.29,0.4387,0.0222577371892,0.0534185692542
9,Accenture plc.,ACN,Business Services,Miscellaneous,46171240462.5,65.0,5.21,1 - 2013,7,67.91,10 - 10,1.0,0.01485,0.01485,-2.91,2.31485,0.0340870269474,0.204522161685
10,Accenture plc.,ACN,Business Services,Miscellaneous,46171240462.5,67.5,3.3,1 - 2013,3,67.91,10 - 10,1.0,0.01485,0.01485,-0.41,2.90485,0.0427749963187,0.256649977912
11,Accenture plc.,ACN,Business Services,Miscellaneous,46171240462.5,70.0,2.2,1 - 2013,6,67.91,10 - 10,1.0,0.01485,0.01485,2.09,2.21485,0.0326144897659,0.195686938595
12,Accenture plc.,ACN,Business Services,Miscellaneous,46171240462.5,72.5,1.2,1 - 2013,3,67.91,10 - 10,1.0,0.01485,0.01485,4.59,1.21485,0.0178891179502,0.107334707701
13,Accenture plc.,ACN,Business Services,Miscellaneous,46171240462.5,75.0,0.35,1 - 2013,28,67.91,10 - 10,1.0,0.01485,0.01485,7.09,0.36485,0.00537255190694,0.0322353114416
4,Accenture plc.,ACN,Business Services,Miscellaneous,46171240462.5,65.0,5.7,2 - 2013,2,67.91,10 - 10,1.0,0.01485,0.01485,-2.91,2.80485,0.0413024591371,0.165209836548
5,Accenture plc.,ACN,Business Services,Miscellaneous,46171240462.5,67.5,4.0,2 - 2013,10,67.91,10 - 10,1.0,0.01485,0.01485,-0.41,3.60485,0.0530827565896,0.212331026358
6,Accenture plc.,ACN,Business Services,Miscellaneous,46171240462.5,70.0,2.45,2 - 2013,400,67.91,10 - 10,1.0,0.01485,0.01485,2.09,2.46485,0.0362958327198,0.145183330879
7,Accenture plc.,ACN,Business Services,Miscellaneous,46171240462.5,72.5,1.35,2 - 2013,6,67.91,10 - 10,1.0,0.01485,0.01485,4.59,1.36485,0.0200979237226,0.0803916948903
8,Accenture plc.,ACN,Business Services,Miscellaneous,46171240462.5,75.0,0.75,2 - 2013,4,67.91,10 - 10,1.0,0.01485,0.01485,7.09,0.76485,0.0112627006332,0.0450508025328
2,Accenture plc.,ACN,Business Services,Miscellaneous,46171240462.5,65.0,5.6,5 - 2013,6,67.91,10 - 10,2.0,0.01485,0.0297,-2.91,2.7197,0.040048593727,0.080097187454
3,Accenture plc.,ACN,Business Services,Miscellaneous,46171240462.5,67.5,4.9,5 - 2013,1,67.91,10 - 10,2.0,0.01485,0.0297,-0.41,4.5197,0.0665542629951,0.13310852599
4,Accenture plc.,ACN,Business Services,Miscellaneous,46171240462.5,70.0,3.3,5 - 2013,3,67.91,10 - 10,2.0,0.01485,0.0297,2.09,3.3297,0.0490310705345,0.0980621410691
5,Accenture plc.,ACN,Business Services,Miscellaneous,46171240462.5,72.5,2.27,5 - 2013,1,67.91,10 - 10,2.0,0.01485,0.0297,4.59,2.2997,0.0338639375644,0.0677278751288
6,Accenture plc.,ACN,Business Services,Miscellaneous,46171240462.5,75.0,1.9,5 - 2013,5,67.91,10 - 10,2.0,0.01485,0.0297,7.09,1.9297,0.0284155499926,0.0568310999853
1,"Access Midstream Partmers, L.P.",ACMP,Natural Gas Distribution,Public Utilities,5228790891.3,30.0,5.4,3 - 2013,25.0,35.33,8 - 3,2.0,0.01215,0.0243,-5.33,0.0943,0.00266911972828,0.00800735918483
2,"Access Midstream Partmers, L.P.",ACMP,Natural Gas Distribution,Public Utilities,5228790891.3,35.0,2.2,3 - 2013,4.0,35.33,8 - 3,2.0,0.01215,0.0243,-0.33,1.8943,0.0536173223889,0.160851967167
3,"Access Midstream Partmers, L.P.",ACMP,Natural Gas Distribution,Public Utilities,5228790891.3,40.0,0.4,3 - 2013,20.0,35.33,8 - 3,2.0,0.01215,0.0243,4.67,0.4243,0.0120096235494,0.0360288706482
0,Acco Brands Corporation,ACCO,Publishing,Consumer Durables,870856055.3,5.0,1.75,3 - 2013,1.0,7.7,None,None,None,None,-2.7,-0.95,-0.123376623377,-0.37012987013
1,Acco Brands Corporation,ACCO,Publishing,Consumer Durables,870856055.3,7.5,0.4,3 - 2013,70.0,7.7,None,None,None,None,-0.2,0.2,0.025974025974,0.0779220779221
2,Acco Brands Corporation,ACCO,Publishing,Consumer Durables,870856055.3,10.0,0.1,3 - 2013,16.0,7.7,None,None,None,None,2.3,0.1,0.012987012987,0.038961038961
3,Acco Brands Corporation,ACCO,Publishing,Consumer Durables,870856055.3,12.5,0.05,3 - 2013,0.0,7.7,None,None,None,None,4.8,0.05,0.00649350649351,0.0194805194805
2,"Accretive Health, Inc.",AH,Other Consumer Services,Consumer Services,1174016581.66,10.0,2.7,1 - 2013,0,11.81,None,None,None,None,-1.81,0.89,0.0753598645216,0.45215918713
3,"Accretive Health, Inc.",AH,Other Consumer Services,Consumer Services,1174016581.66,11.0,1.5,1 - 2013,10,11.81,None,None,None,None,-0.81,0.69,0.0584250635055,0.350550381033
4,"Accretive Health, Inc.",AH,Other Consumer Services,Consumer Services,1174016581.66,12.5,1.0,1 - 2013,1,11.81,None,None,None,None,0.69,1.0,0.0846740050804,0.508044030483
5,"Accretive Health, Inc.",AH,Other Consumer Services,Consumer Services,1174016581.66,14.0,0.65,1 - 2013,5,11.81,None,None,None,None,2.19,0.65,0.0550381033023,0.330228619814
6,"Accretive Health, Inc.",AH,Other Consumer Services,Consumer Services,1174016581.66,15.0,0.3,1 - 2013,20,11.81,None,None,None,None,3.19,0.3,0.0254022015241,0.152413209145
0,"Accretive Health, Inc.",AH,Other Consumer Services,Consumer Services,1174016581.66,8.0,4.4,3 - 2013,19,11.81,None,None,None,None,-3.81,0.59,0.0499576629975,0.149872988992
1,"Accretive Health, Inc.",AH,Other Consumer Services,Consumer Services,1174016581.66,11.0,2.8,3 - 2013,5,11.81,None,None,None,None,-0.81,1.99,0.16850127011,0.50550381033
2,"Accretive Health, Inc.",AH,Other Consumer Services,Consumer Services,1174016581.66,12.0,1.54,3 - 2013,2,11.81,None,None,None,None,0.19,1.54,0.130397967824,0.391193903472
3,"Accretive Health, Inc.",AH,Other Consumer Services,Consumer Services,1174016581.66,13.0,1.5,3 - 2013,1,11.81,None,None,None,None,1.19,1.5,0.127011007621,0.381033022862
4,"Accretive Health, Inc.",AH,Other Consumer Services,Consumer Services,1174016581.66,14.0,1.0,3 - 2013,1,11.81,None,None,None,None,2.19,1.0,0.0846740050804,0.254022015241
0,Accuride Corporation New,ACW,Auto Parts:O.E.M.,Capital Goods,114198606.74,2.5,0.75,1 - 2013,2.0,2.41,None,None,None,None,0.09,0.75,0.311203319502,1.86721991701
1,Accuride Corporation New,ACW,Auto Parts:O.E.M.,Capital Goods,114198606.74,5.0,0.45,1 - 2013,10.0,2.41,None,None,None,None,2.59,0.45,0.186721991701,1.12033195021
2,Accuride Corporation New,ACW,Auto Parts:O.E.M.,Capital Goods,114198606.74,7.5,0.7,1 - 2013,0.0,2.41,None,None,None,None,5.09,0.7,0.290456431535,1.74273858921
5,Ace Limited,ACE,Property-Casualty Insurers,Finance,26279656892.5,75.0,4.7,1 - 2013,30,77.5,7 - 27,2.0,0.0143,0.0286,-2.5,2.2286,0.0287561290323,0.172536774194
6,Ace Limited,ACE,Property-Casualty Insurers,Finance,26279656892.5,77.5,2.7,1 - 2013,10,77.5,7 - 27,2.0,0.0143,0.0286,0.0,2.7286,0.0352077419355,0.211246451613
7,Ace Limited,ACE,Property-Casualty Insurers,Finance,26279656892.5,80.0,2.55,1 - 2013,55,77.5,7 - 27,2.0,0.0143,0.0286,2.5,2.5786,0.0332722580645,0.199633548387
8,Ace Limited,ACE,Property-Casualty Insurers,Finance,26279656892.5,82.5,0.55,1 - 2013,16,77.5,7 - 27,2.0,0.0143,0.0286,5.0,0.5786,0.00746580645161,0.0447948387097
9,Ace Limited,ACE,Property-Casualty Insurers,Finance,26279656892.5,85.0,0.55,1 - 2013,10,77.5,7 - 27,2.0,0.0143,0.0286,7.5,0.5786,0.00746580645161,0.0447948387097
4,Ace Limited,ACE,Property-Casualty Insurers,Finance,26279656892.5,75.0,6.6,2 - 2013,20,77.5,7 - 27,2.0,0.0143,0.0286,-2.5,4.1286,0.0532722580645,0.213089032258
5,Ace Limited,ACE,Property-Casualty Insurers,Finance,26279656892.5,77.5,3.1,2 - 2013,4,77.5,7 - 27,2.0,0.0143,0.0286,0.0,3.1286,0.0403690322581,0.161476129032
6,Ace Limited,ACE,Property-Casualty Insurers,Finance,26279656892.5,80.0,3.0,2 - 2013,30,77.5,7 - 27,2.0,0.0143,0.0286,2.5,3.0286,0.0390787096774,0.15631483871
7,Ace Limited,ACE,Property-Casualty Insurers,Finance,26279656892.5,82.5,2.15,2 - 2013,10,77.5,7 - 27,2.0,0.0143,0.0286,5.0,2.1786,0.0281109677419,0.112443870968
8,Ace Limited,ACE,Property-Casualty Insurers,Finance,26279656892.5,85.0,0.95,2 - 2013,1,77.5,7 - 27,2.0,0.0143,0.0286,7.5,0.9786,0.0126270967742,0.0505083870968
0,Ace Limited,ACE,Property-Casualty Insurers,Finance,26279656892.5,77.5,5.3,5 - 2013,20.0,77.5,7 - 27,2.0,0.0143,0.0286,0.0,5.3286,0.0687561290323,0.137512258065
1,Ace Limited,ACE,Property-Casualty Insurers,Finance,26279656892.5,80.0,3.9,5 - 2013,10.0,77.5,7 - 27,2.0,0.0143,0.0286,2.5,3.9286,0.0506916129032,0.101383225806
2,Ace Limited,ACE,Property-Casualty Insurers,Finance,26279656892.5,82.5,3.2,5 - 2013,133.0,77.5,7 - 27,2.0,0.0143,0.0286,5.0,3.2286,0.0416593548387,0.0833187096774
3,Ace Limited,ACE,Property-Casualty Insurers,Finance,26279656892.5,85.0,1.2,5 - 2013,6.0,77.5,7 - 27,2.0,0.0143,0.0286,7.5,1.2286,0.0158529032258,0.0317058064516
0,Actuant Corporation,ATU,Industrial Machinery/Components,Technology,2039921836.2,25.0,5.1,2 - 2013,0.0,27.99,9 - 28,1.0,0.0,0.0,-2.99,2.11,0.0753840657378,0.301536262951
1,Actuant Corporation,ATU,Industrial Machinery/Components,Technology,2039921836.2,30.0,1.45,2 - 2013,2.0,27.99,9 - 28,1.0,0.0,0.0,2.01,1.45,0.0518042157914,0.207216863165
2,Actuant Corporation,ATU,Industrial Machinery/Components,Technology,2039921836.2,35.0,0.5,2 - 2013,0.0,27.99,9 - 28,1.0,0.0,0.0,7.01,0.5,0.0178635226867,0.0714540907467
0,Acuity Brands Inc,AYI,Building Products,Consumer Durables,2710086642.0,40.0,19.9,2 - 2013,0,63.88,7 - 16,2.0,0.0039,0.0078,-23.88,-3.9722,-0.0621822166562,-0.248728866625
1,Acuity Brands Inc,AYI,Building Products,Consumer Durables,2710086642.0,60.0,4.0,2 - 2013,0,63.88,7 - 16,2.0,0.0039,0.0078,-3.88,0.1278,0.00200062617408,0.00800250469631
2,Acuity Brands Inc,AYI,Building Products,Consumer Durables,2710086642.0,65.0,4.2,2 - 2013,2,63.88,7 - 16,2.0,0.0039,0.0078,1.12,4.2078,0.0658703819662,0.263481527865
3,Acuity Brands Inc,AYI,Building Products,Consumer Durables,2710086642.0,70.0,0.9,2 - 2013,20,63.88,7 - 16,2.0,0.0039,0.0078,6.12,0.9078,0.0142110206637,0.056844082655
4,Acuity Brands Inc,AYI,Building Products,Consumer Durables,2710086642.0,75.0,1.9,2 - 2013,0,63.88,7 - 16,2.0,0.0039,0.0078,11.12,1.9078,0.0298653725736,0.119461490294
0,Acuity Brands Inc,AYI,Building Products,Consumer Durables,2710086642.0,55.0,12.6,5 - 2013,1.0,63.88,7 - 16,2.0,0.0039,0.0078,-8.88,3.7278,0.0583562930495,0.116712586099
1,Acuity Brands Inc,AYI,Building Products,Consumer Durables,2710086642.0,65.0,7.6,5 - 2013,0.0,63.88,7 - 16,2.0,0.0039,0.0078,1.12,7.6078,0.11909517846,0.238190356919
2,Acuity Brands Inc,AYI,Building Products,Consumer Durables,2710086642.0,75.0,2.5,5 - 2013,1.0,63.88,7 - 16,2.0,0.0039,0.0078,11.12,2.5078,0.0392579837195,0.0785159674389
